"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","KostenProKopf"
"base","ganze Stadt","stark","base","nurAussenbezirke","base",0.8,8e+07,0.8,0.9,21.0526315789474
"dekarbonisiert","ganze Stadt","stark","base","nurAussenbezirke","base",0.8,1.3e+08,0.8,0.9,34.2105263157895
"base","base","base","mautFossil","nurAussenbezirke","base",0.5,-7.3e+08,0.7,0.7,-192.105263157895
"dekarbonisiert","base","base","mautFossil","nurAussenbezirke","base",0.5,-6.8e+08,0.7,0.7,-178.947368421053
"base","ganze Stadt","base","mautFossil","nurAussenbezirke","base",0.4,-7.2e+08,0.6,0.7,-189.473684210526
"dekarbonisiert","ganze Stadt","base","mautFossil","nurAussenbezirke","base",0.4,-6.7e+08,0.6,0.7,-176.315789473684
"base","base","stark","mautFossil","nurAussenbezirke","base",0.4,-6.6e+08,0.6,0.7,-173.684210526316
"dekarbonisiert","base","stark","mautFossil","nurAussenbezirke","base",0.4,-6.1e+08,0.6,0.7,-160.526315789474
"base","ganze Stadt","stark","mautFossil","nurAussenbezirke","base",0.4,-6.5e+08,0.6,0.6,-171.052631578947
"dekarbonisiert","ganze Stadt","stark","mautFossil","nurAussenbezirke","base",0.4,-6e+08,0.6,0.6,-157.894736842105
"base","base","base","MautFuerAlle","nurAussenbezirke","base",0.6,-1.46e+09,0.6,0.6,-384.210526315789
"dekarbonisiert","base","base","MautFuerAlle","nurAussenbezirke","base",0.6,-1.41e+09,0.6,0.6,-371.052631578947
"base","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","base",0.5,-1.45e+09,0.5,0.5,-381.578947368421
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","nurAussenbezirke","base",0.5,-1.4e+09,0.5,0.5,-368.421052631579
"base","base","stark","MautFuerAlle","nurAussenbezirke","base",0.5,-1.39e+09,0.5,0.5,-365.789473684211
"dekarbonisiert","base","stark","MautFuerAlle","nurAussenbezirke","base",0.5,-1.34e+09,0.5,0.5,-352.631578947368
"base","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","base",0.5,-1.38e+09,0.5,0.5,-363.157894736842
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","nurAussenbezirke","base",0.5,-1.33e+09,0.5,0.5,-350
"base","base","base","zeroEmissionsZone","nurAussenbezirke","base",0.019702,0,1,1,0
"dekarbonisiert","base","base","zeroEmissionsZone","nurAussenbezirke","base",0.009702,5e+07,1,1,13.1578947368421
"base","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","base",0.018712,1e+07,0.8,0.9,2.63157894736842
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","base",0.008712,6e+07,0.8,0.9,15.7894736842105
"base","base","stark","zeroEmissionsZone","nurAussenbezirke","base",0.018712,7e+07,0.8,0.9,18.4210526315789
"dekarbonisiert","base","stark","zeroEmissionsZone","nurAussenbezirke","base",0.008712,1.2e+08,0.8,0.9,31.5789473684211
"base","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","base",0.017821,8e+07,0.8,0.9,21.0526315789474
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","base",0.007821,1.3e+08,0.8,0.9,34.2105263157895
"base","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.019702,0,0.6,0.6,0
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.009702,5e+07,0.6,0.6,13.1578947368421
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.018712,1e+07,0.5,0.5,2.63157894736842
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.008712,6e+07,0.5,0.5,15.7894736842105
